#
#
# ./calctrans file -o ../src-splitter/transition.h
# ./proccorpus corpus.0.txt > file;
|あくせすできない|ばあいが|あります| |アクセスできない|場合が|あります|
|あした|とどくらしい| |明日|届くらしい|
|あじを|しめる| |味を|しめる|
|あつい|おちゃを|のみながら|あつい|ほんを|よむ| |熱い|お茶を|飲みながら|厚い|本を|読む|
|あまり|きにしない| |あまり|気にしない|
ありがたいです |ありがたいです|
|ある|がくもんの|し| |ある|学問の|死|
いったいいつになったら |いったい|いつに|なったら|
いったんはていしした |いったんは|ていしした|
いつでもつかえるいんたーねっと |いつでも|つかえる|いんたーねっと|
いまのところは |いまの|ところは|
いれたおぼえがないのにはいってるぐらいのものならば |いれた|おぼえが|ないのに|はいってる|ぐらいの|ものならば|
うってそう |うってそう|
|えーかー| |エーカー|
|おさんよりも|いたいかもです| |お産よりも|痛いかもです|
かすとはなんだ |かすとは|なんだ|
かなりあとのほうにでてくる |かなり|あとの|ほうに|でてくる|
かれはつまとこをあいしている |かれは|つまと|こを|あいしている|
かわないのも |かわないのも|
きょうだいはつのぎじゅつ |きょうだいはつの|ぎじゅつ|
|けっかを|まつ| |結果を|待つ|
げいじゅつをうみだすかれいなちから |げいじゅつを|うみだす|かれいな|ちから|
こうかいする |こうかいする|
こうかいはしたくない |こうかいは|したくない|
こうしんがないさいとは |こうしんが|ない|さいとは|
このなまえ |この|なまえ|
さいしょにこのなまえについてごぞんじないどくしゃのためにかく |さいしょに|この|なまえに|ついて|ごぞんじない|どくしゃの|ために|かく|
しましたができなかった |しましたが|できなかった|
じかんがかかりそうだが |じかんが|かかりそうだが|
じっそうようげんご |じっそうよう|げんご|
じょうほうしょりしんこうじぎょうきょうかい |じょうほう|しょり|しんこう|じぎょう|きょうかい| |情報|処理|振興|事業|協会|
せおりーどおりやるなら |せおりー|どおり|やるなら|
せっかくだからおれはこのあかのとびらをえらぶぜ |せっかくだから|おれは|この|あかの|とびらを|えらぶぜ|
ぜんぜんほうこうせいがわかりません |ぜんぜん|ほうこうせいが|わかりません|
そこにものをおかないでくださいね |そこに|ものを|おかないで|くださいね|
たいへいようせんそうはいぼくのひまで、3がつ10にちはりくぐんきねんびであった。 |たいへいようせんそう|はいぼくの|ひまで|、|3がつ|10にちは|りくぐん|きねんびであった|。|
ちょうかいする |ちょうかいする|
つかうほど |つかうほど|
てがかりにしんの |てがかりに|しんの|
とうこうする |とうこうする|
ところできられるのは |ところで|きられるのは|
どうさする |どうさする|
どうなるかかんがえて |どうなるか|かんがえて|
どんなきのう、APIがひつようかのどきゅめんと |どんな|きのう|、|APIが|ひつようかの|どきゅめんと| |どんな|機能|、|APIが|必要かの|ドキュメント|
にほんじんにとってしごととは |にほんじんに|とって|しごととは|
にほんじんのかんきょうならrubyはじめいなんでしょうけど |にほんじんの|かんきょうなら|rubyは|じめいなんでしょうけど|
にゅうりょくにたいしてじゅんにてきようする |にゅうりょくに|たいして|じゅんに|てきようする|
ねこ |ねこ|
ねんきゅうのしょうかりつがよい |ねんきゅうの|しょうかりつが|よい|
のうしはし |のうしは|し|
のうしはしですか |のうしは|しですか| |脳死は|死ですか|
ひきおこしがちだ |ひきおこしがちだ|
ひとつめ |ひとつめ|
ひゃくにんもの |ひゃくにんもの|
ひょうじょうする |ひょうじょうする|
ふかくかんがえてないです |ふかく|かんがえてないです| |深く|考えてないです|
ぶんせつのこうぞうをそーとする |ぶんせつの|こうぞうを|そーとする|
へこむ |へこむ|
ほんをかくためのときとばしょとじゆうをあたえてくれつねにはげましつづけてくれたからだ。 |ほんを|かくための|ときと|ばしょと|じゆうを|あたえてくれ|つねに|はげましつづけてくれたからだ|。|
|ぽっちゃりした|からだ| |ぽっちゃりした|体|
まいとしないようがかいていされている |まいとし|ないようが|かいていされている|
まだはやいといったのに |まだ|はやいと|いったのに|
まったくあたらしいでざいんときのうをじつげんする |まったく|あたらしい|でざいんと|きのうを|じつげんする|
|みおとしては|ならない| |見落としては|ならない|
みておためしください |みて|おためし|ください| |見て|お試し|ください|
みなさまはじめまして |みなさま|はじめまして|
|みせに|いかないので| |店に|行かないので|
|みにくい|あひるの|こを|よむ| |醜い|アヒルの|子を|読む|
|めが|はなせません| |目が|離せません|
もうしわけありません |もうしわけ|ありません|
もってかえって |もって|かえって| |持って|帰って|
|もんだいが|ないか|かくにんしていただけないでしょうか| |問題が|無いか|確認していただけないでしょうか|
よくかんがえてみる |よく|かんがえてみる|
よみたいとおもってます |よみたいと|おもってます|
|りょういき|かんりを|する| |領域|管理を|する|
れんぞくしたあきめもりりょういきのぶぶんにせいせいされるため |れんぞくした|あきめもり|りょういきの|ぶぶんに|せいせいされるため|
|わたしに|しあわせが|やってくるのでしょうか| |私に|幸せが|やってくるのでしょうか|
|よみは|ことなる| |読みは|異なる|
