# 入力読み	許容するakaza出力	corpus期待値	理由
# このファイルに記載されたパターンは、evaluate の BAD カウントから除外される。
# 注意: Wikipedia由来の珍語（艦級等）が正解になるケースは accept に入れないこと。
あいしてもいいことはない	愛してもいいことはない	愛しても良い事は無い	style:無い→ない,良い→いい,事→こと
あきはばらでみていたものと	秋葉原で見ていたものと	秋葉原で見ていた物と	style:物→もの
あそぶつもりでしたか？	遊ぶつもりでしたか？	遊ぶつもりでしたか?	punctuation_style
あたらしいなかまとのであいのきっかけになればいい	新しい仲間との出会いのきっかけになればいい	新しい仲間との出会いのきっかけになれば良い	style:良い→いい
あてはまるもの	当てはまるもの	当てはまる物	style:物→もの
あとすこしでいいところまでとうたつする	あと少しでいいところまで到達する	あと少しで良い所まで到達する	style:良い→いい
あなたのきちはすべてわたしのものです	あなたの基地は全て私のものです	あなたの基地は全て私の物です	style:物→もの
あなたはいぬはおすき？	あなたは犬はお好き？	あなたは犬はお好き?	punctuation_style
あなたはどうおもうよ？	あなたはどう思うよ？	あなたはどう思うよ?	punctuation_style
あのおかまであなたのとちですか？	あの丘まであなたの土地ですか？	あの丘まであなたの土地ですか?	punctuation_style
あらためてなのるほどのこともない	改めて名乗るほどのこともない	改めて名乗るほどの事も無い	style:無い→ない,事→こと
ありえないもの	ありえないもの	ありえない物	style:物→もの
あれもほんらいはほとんどないものらしいです	あれも本来はほとんどないものらしいです	あれも本来はほとんど無い物らしいです	style:無い→ない,物→もの
あんてなたんしがあたらしいものとかわっていなければ	アンテナ端子が新しいものと変わっていなければ	アンテナ端子が新しい物と変わっていなければ	style:物→もの
あんまりこころあたりがない	あんまり心当たりがない	あんまり心当たりが無い	style:無い→ない
いいともおもえない	いいとも思えない	良いとも思えない	style:良い→いい
いいばしょないですかね	いい場所ないですかね	良い場所無いですかね	style:無い→ない,良い→いい
いいほんやく	いい翻訳	良い翻訳	style:良い→いい
いえでまでしごとのことはかんがえたくない？	家でまで仕事のことは考えたくない？	家でまで仕事のことは考えたくない?	punctuation_style
いしょうきせたっていみないって。	衣装着せたって意味ないって。	衣装着せたって意味無いって。	style:無い→ない
いただいためーるへのへんじはまたつぎに	いただいたメールへの返事はまた次に	頂いたメールへの返事はまた次に	style:other
いたるところにけっかんがあります。	至るところに欠陥があります。	至る所に欠陥があります。	style:other
いったことないので、	行ったことないので、	行ったこと無いので、	style:無い→ない
