datetime	commit	branch	corpus_stats	good	top5	bad	recall
2026-02-16 14:29	9193200b	main	v2026.0211.1	6712	351	4002	93.12456
2026-02-16 14:59	c4b009c2	main	v2026.0216.0	6712	351	4002	93.12456
2026-02-16 15:33	c4b009c2	main	v2026.0211.1	6707	348	4010	93.1647
2026-02-16 16:50	d317969d	docs/corpus-stats-v2026.0216.0-comparison	v2026.0216.0	6727	345	3993	93.18957
2026-02-17 01:15	cdeae673	fix/small-kana-dict-entries	v2026.0216.0	6724	345	3996	93.18637
2026-02-17 10:08	d3a5dbbe	main	v2026.0216.0	6728	345	3992	93.19349
2026-02-18 17:57	f5b80ec9	fix/counter-bare-kanji-lm-fallback	v2026.0216.0	6728	345	3992	93.19349
2026-02-20 15:41	97d45752	sync-cargo-version-on-release	v2026.0216.0	6728	345	3992	93.19349
2026-02-20 16:17	949361cc	main	v2026.0216.0	6728	345	3992	93.19349
2026-02-24 11:38	4959f258	main	v2026.0216.0	6756	345	3964	93.249855
2026-02-24 12:23	23307d65	main	v2026.0216.0	6776	343	3946	93.26708
2026-02-24 16:30	7c93f16d	main	v2026.0216.0	6780	343	3942	93.27101
2026-02-24 17:05	7c93f16d	fix/suki-bos-overfit	v2026.0216.0	6784	343	3938	93.29374
